,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
777,屏東縣縣立萬巒國中,AirBox,2018-12-07,74DA38F20EEE,1,2.0,1.0,22.571,120.573,9.0,4322.0,100.0,1.0,0.0,35.0,42.0,23.0,79.0,26.0,1544211928.0,19:45:28,2018-12-07T19:45:28Z,1.0.7,3
778,taichung77,AirBox,2018-12-07,74DA3895C30A,1,2.0,1.0,24.225,120.714,9.0,4869.0,100.0,1.0,0.0,3.0,3.0,1.0,100.0,21.75,1544211927.0,19:45:27,2018-12-07T19:45:27Z,0.35.0,3
779,taichung10,AirBox,2018-12-07,74DA3895C30C,1,2.0,1.0,24.162,120.723,9.0,102.0,100.0,1.0,0.0,2.0,2.0,2.0,97.0,25.37,1544212451.0,19:54:11,2018-12-07T19:54:11Z,0.35.0,3
780,74DA38C7D480,AirBox,2018-12-07,74DA38C7D480,1,2.0,1.0,24.747,121.687,9.0,728.0,100.0,1.0,0.0,0.0,0.0,0.0,83.0,23.12,1544211302.0,19:35:02,2018-12-07T19:35:02Z,0.35.2,3
781,74DA38E69E4C,AirBox,2018-12-07,74DA38E69E4C,1,2.0,1.0,22.998,120.189,9.0,28.0,100.0,1.0,0.0,11.0,11.0,8.0,64.0,26.87,1544212512.0,19:55:12,2018-12-07T19:55:12Z,0.35.2,3
782,74DA38E69E4A,AirBox,2018-12-07,74DA38E69E4A,1,2.0,1.0,25.017,121.308,9.0,353.0,100.0,1.0,0.0,0.0,0.0,0.0,73.0,24.25,1544212497.0,19:54:57,2018-12-07T19:54:57Z,0.35.2,3
783,74DA38AF47DC,AirBox,2018-12-07,74DA38AF47DC,1,2.0,1.0,22.638,120.325,9.0,898.0,100.0,1.0,0.0,8.0,9.0,6.0,66.0,29.37,1544212663.0,19:57:43,2018-12-07T19:57:43Z,0.35.2,3
784,澎湖縣縣立志清國中,AirBox,2018-12-07,74DA38F21112,1,2.0,1.0,23.59,119.612,9.0,396.0,100.0,1.0,0.0,4.0,4.0,2.0,94.0,23.5,1544212561.0,19:56:01,2018-12-07T19:56:01Z,1.0.7,3
785,台東縣縣立新生國小,AirBox,2018-12-07,74DA38F21114,1,2.0,1.0,22.764,121.142,9.0,25.0,100.0,1.0,0.0,0.0,0.0,0.0,67.0,25.12,1544212666.0,19:57:46,2018-12-07T19:57:46Z,1.0.7,3
786,屏東縣縣立三和國小,AirBox,2018-12-07,74DA38F20D0A,1,2.0,1.0,22.82,120.506,9.0,17.0,100.0,1.0,0.0,19.0,19.0,13.0,67.0,25.62,1544211969.0,19:46:09,2018-12-07T19:46:09Z,1.0.7,3
787,74DA38E69C80,AirBox,2018-12-07,74DA38E69C80,1,2.0,1.0,23.244,120.157,9.0,1062.0,100.0,1.0,0.0,6.0,7.0,5.0,56.0,28.75,1544212109.0,19:48:29,2018-12-07T19:48:29Z,0.35.2,3
