,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
0,74DA38C7D37E,AirBox,2018-12-07,74DA38C7D37E,1,2.0,1.0,24.875,120.995,9.0,10552.0,100.0,1.0,0.0,0.0,1.0,0.0,62.0,26.5,1544213471.0,20:11:11,2018-12-07T20:11:11Z,0.35.2,3
1,苗栗縣縣立南埔國小,AirBox,2018-12-07,74DA38F20A3A,1,2.0,1.0,24.635,120.973,9.0,615.0,100.0,1.0,0.0,0.0,0.0,0.0,75.0,21.62,1544214498.0,20:28:18,2018-12-07T20:28:18Z,1.0.7,3
2,苗栗縣縣立田美國小,AirBox,2018-12-07,74DA38F20A3C,1,2.0,1.0,24.629,121.008,9.0,610.0,100.0,1.0,0.0,0.0,0.0,0.0,81.0,20.12,1544213276.0,20:07:56,2018-12-07T20:07:56Z,1.0.7,3
3,74DA38B0538C,AirBox,2018-12-07,74DA38B0538C,1,2.0,1.0,0.0,0.0,9.0,233.0,100.0,1.0,0.0,0.0,0.0,0.0,60.0,29.0,1544214379.0,20:26:19,2018-12-07T20:26:19Z,1.0.7,3
4,changhua18,AirBox,2018-12-07,74DA3895E0AE,1,2.0,1.0,23.879,120.362,9.0,862.0,100.0,1.0,0.0,16.0,16.0,15.0,100.0,24.5,1544212871.0,20:01:11,2018-12-07T20:01:11Z,0.35.0,3
5,74DA38E69CAC,AirBox,2018-12-07,74DA38E69CAC,1,2.0,1.0,25.048,121.301,9.0,304.0,100.0,1.0,0.0,6.0,6.0,4.0,59.0,29.0,1544213548.0,20:12:28,2018-12-07T20:12:28Z,0.35.2,3
6,74DA38F20B88,AirBox,2018-12-07,74DA38F20B88,1,2.0,1.0,22.75,120.316,9.0,99.0,100.0,1.0,0.0,27.0,28.0,18.0,67.0,23.5,1544213917.0,20:18:37,2018-12-07T20:18:37Z,1.0.7,3
7,74DA38F20B86,AirBox,2018-12-07,74DA38F20B86,1,2.0,1.0,22.733,120.248,9.0,158.0,100.0,1.0,0.0,31.0,35.0,19.0,68.0,24.62,1544214431.0,20:27:11,2018-12-07T20:27:11Z,1.0.7,3
8,嘉義縣大南國民小學,AirBox,2018-12-07,74DA38C7D1DE,1,2.0,1.0,23.558,120.554,9.0,3965.0,100.0,1.0,0.0,6.0,6.0,4.0,97.0,22.5,1544214035.0,20:20:35,2018-12-07T20:20:35Z,0.35.2,3
9,74DA38B0514E,AirBox,2018-12-07,74DA38B0514E,1,2.0,1.0,25.018,121.304,9.0,584.0,100.0,1.0,0.0,0.0,0.0,0.0,61.0,28.37,1544213917.0,20:18:37,2018-12-07T20:18:37Z,0.35.2,3
10,74DA38F20B82,AirBox,2018-12-07,74DA38F20B82,1,2.0,1.0,22.847,120.465,9.0,92.0,100.0,1.0,0.0,22.0,23.0,15.0,76.0,21.62,1544212077.0,19:47:57,2018-12-07T19:47:57Z,1.0.7,3
11,74DA38E2B588,AirBox,2018-12-07,74DA38E2B588,1,2.0,1.0,23.471,120.411,9.0,1815.0,100.0,1.0,0.0,0.0,0.0,0.0,58.0,29.0,1544214151.0,20:22:31,2018-12-07T20:22:31Z,0.35.2,3
12,屏東縣縣立泰安國小,AirBox,2018-12-07,74DA38F20A74,1,2.0,1.0,22.63,120.594,9.0,81.0,100.0,1.0,0.0,43.0,53.0,28.0,77.0,25.25,1544214190.0,20:23:10,2018-12-07T20:23:10Z,1.0.7,3
13,苗栗縣縣立海寶國小,AirBox,2018-12-07,74DA38F20AA8,1,2.0,1.0,24.661,120.821,9.0,603.0,100.0,1.0,0.0,4.0,5.0,1.0,74.0,21.87,1544211332.0,19:35:32,2018-12-07T19:35:32Z,1.0.7,3
14,屏東縣縣立信義國小,AirBox,2018-12-07,74DA38F20AA4,1,2.0,1.0,22.685,120.492,9.0,1581.0,100.0,1.0,0.0,28.0,32.0,19.0,66.0,27.12,1544213657.0,20:14:17,2018-12-07T20:14:17Z,1.0.7,3
15,74DA38E2B586,AirBox,2018-12-07,74DA38E2B586,1,2.0,1.0,25.034,121.534,9.0,946.0,100.0,1.0,0.0,0.0,0.0,0.0,61.0,25.75,1544214423.0,20:27:03,2018-12-07T20:27:03Z,0.35.2,3
16,苗栗縣縣立中和國小,AirBox,2018-12-07,74DA38F20AA0,1,2.0,1.0,24.588,120.735,9.0,612.0,100.0,1.0,0.0,2.0,4.0,1.0,78.0,20.37,1544214410.0,20:26:50,2018-12-07T20:26:50Z,1.0.7,3
17,74DA38B051FA,AirBox,2018-12-07,74DA38B051FA,1,2.0,1.0,23.594,120.457,9.0,722.0,100.0,1.0,0.0,9.0,11.0,8.0,70.0,26.62,1544214054.0,20:20:54,2018-12-07T20:20:54Z,0.35.2,3
18,74DA38AF47BA,AirBox,2018-12-07,74DA38AF47BA,1,2.0,1.0,25.015,121.546,9.0,4073.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,21.5,1544213842.0,20:17:22,2018-12-07T20:17:22Z,0.35.2,3
19,台東縣縣立萬安國小,AirBox,2018-12-07,74DA38F20AAE,1,2.0,1.0,23.095,121.218,9.0,1575.0,100.0,1.0,0.0,0.0,0.0,0.0,78.0,22.62,1544214440.0,20:27:20,2018-12-07T20:27:20Z,1.0.7,3
20,屏東縣縣立北葉國小,AirBox,2018-12-07,74DA38F211FA,1,2.0,1.0,22.706,120.646,9.0,1528.0,100.0,1.0,0.0,30.0,34.0,20.0,81.0,24.62,1544213908.0,20:18:28,2018-12-07T20:18:28Z,1.0.7,3
21,苗栗縣縣立南庄國小,AirBox,2018-12-07,74DA38F20AAA,1,2.0,1.0,24.6,120.999,9.0,609.0,100.0,1.0,0.0,0.0,0.0,0.0,73.0,21.87,1544212391.0,19:53:11,2018-12-07T19:53:11Z,1.0.7,3
22,74DA38C7D1D8,AirBox,2018-12-07,74DA38C7D1D8,1,2.0,1.0,25.0,121.162,9.0,2612.0,100.0,1.0,0.0,2.0,2.0,1.0,100.0,21.5,1544213788.0,20:16:28,2018-12-07T20:16:28Z,0.35.2,3
23,74DA38C7D1D6,AirBox,2018-12-07,74DA38C7D1D6,1,2.0,1.0,22.46,120.446,9.0,1496.0,100.0,1.0,0.0,18.0,21.0,15.0,69.0,30.37,1544213179.0,20:06:19,2018-12-07T20:06:19Z,0.35.2,3
24,苗栗縣縣立士林國小,AirBox,2018-12-07,74DA38F20B8C,1,2.0,1.0,24.347,120.93,9.0,614.0,100.0,1.0,0.0,9.0,9.0,6.0,80.0,21.37,1544214270.0,20:24:30,2018-12-07T20:24:30Z,1.0.7,3
25,74DA38B05144,AirBox,2018-12-07,74DA38B05144,1,2.0,1.0,23.974,121.611,9.0,445.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,25.0,1544214034.0,20:20:34,2018-12-07T20:20:34Z,0.35.2,3
26,74DA38F20B8A,AirBox,2018-12-07,74DA38F20B8A,1,2.0,1.0,22.882,120.492,9.0,104.0,100.0,1.0,0.0,11.0,12.0,8.0,59.0,27.87,1544211693.0,19:41:33,2018-12-07T19:41:33Z,1.0.7,3
27,74DA38F20A34,AirBox,2018-12-07,74DA38F20A34,1,2.0,1.0,22.906,120.222,9.0,82.0,100.0,1.0,0.0,17.0,18.0,11.0,68.0,23.75,1544214449.0,20:27:29,2018-12-07T20:27:29Z,1.0.7,3
28,苗栗縣縣立蓬萊國小,AirBox,2018-12-07,74DA38F20A36,1,2.0,1.0,24.543,120.97,9.0,224.0,100.0,1.0,0.0,0.0,0.0,0.0,90.0,17.37,1544212438.0,19:53:58,2018-12-07T19:53:58Z,1.0.7,3
